THERMAL ZONE: P1-6-COMMERCE 1-Cooling,THERMAL ZONE: HALL-1-7-Cooling,THERMAL ZONE: HALL-1-6-Cooling,,timestep
24.067547,24.084225,23.445831,,587
23.778746,22.475224,22.135965,,588
24.537153,23.85897,22.620497,,589
22.22667,24.044647,23.80875,,590
24.709898,22.701563,24.734913,,591
22.234882,22.545593,25.44742,,592
25.745062,24.129276,23.536777,,593
22.254858,25.166763,23.165817,,594
22.02941,22.284763,22.215202,,595
22.280441,24.3512,24.416298,,596
24.421928,25.257553,23.070496,,597
25.743982,23.278667,24.369038,,598
23.617086,22.523933,23.384129,,599
22.635027,22.645966,25.304737,,600
22.053059,22.473654,22.404106,,601
23.607777,25.395628,23.534855,,602
25.449692,22.685053,25.639502,,603
22.313148,23.80883,25.514685,,604
23.791208,25.381298,25.446905,,605
22.325342,24.1009,25.429907,,606
25.201445,25.1769,24.199055,,607
22.367458,24.865868,25.38094,,608
22.3185,24.504486,24.91002,,609
24.233875,23.42254,25.524801,,610
22.699135,24.570753,23.22422,,611
25.295801,25.741285,23.352188,,612
22.28186,25.290825,22.914717,,613
25.958448,25.81563,25.478003,,614
23.611391,24.692001,25.155796,,615
23.881763,24.635597,22.645847,,616
24.19485,25.541578,25.655153,,617
25.595276,22.622467,22.497229,,618
25.8387,24.070526,25.187353,,619
25.264545,24.661327,23.1498,,620
25.768188,23.817532,24.241674,,621
22.215055,22.468027,25.187912,,622
25.332579,25.478199,23.836927,,623
22.357273,24.736261,25.337383,,624
22.325275,24.061794,25.467896,,625
25.630169,23.30794,22.40495,,626
23.281225,25.423449,22.861801,,627
24.451633,25.59405,23.505722,,628
23.164013,23.492908,24.203806,,629
22.200245,24.942633,22.461514,,630
25.856297,24.390163,25.166878,,631
24.961248,24.354101,25.685722,,632
24.999634,24.711407,25.531536,,633
23.841137,23.96785,23.991337,,634
24.233633,25.435184,24.046366,,635
25.76533,25.3116,24.273619,,636
24.537956,25.084667,22.503672,,637
22.26966,25.23618,23.348063,,638
22.207035,24.902628,22.616976,,639
22.429338,23.800104,24.767666,,640
22.618849,24.55151,24.695293,,641
24.674627,22.303991,22.253433,,642
23.62927,22.547256,23.813356,,643
22.263039,23.98732,24.484331,,644
24.449493,24.731998,24.897434,,645
25.861633,25.55369,24.094082,,646
24.357716,25.289295,23.26926,,647
22.257158,23.250221,22.933603,,648
22.819202,22.96231,25.448383,,649
25.58173,24.020578,22.946686,,650
23.640388,23.01965,23.670124,,651
25.613106,25.330673,22.466452,,652
23.698427,23.07367,24.002855,,653
22.776308,25.13713,23.510216,,654
22.276695,24.685734,23.092945,,655
